Date,Average Low,Average High
20161021,45,60
20161022,45,59
20161023,44,59
20161024,44,59
20161025,44,58
20161026,43,58
20161027,43,58
20161028,43,57
20161029,43,57
20161030,42,57
20161031,42,57
20161101,42,57
20161102,42,56
20161103,41,56
20161104,41,56
20161105,41,55
20161106,41,55
20161107,41,55
20161108,40,54
20161109,40,54
20161110,40,54
20161111,39,53
20161112,39,53
20161113,39,53
20161114,39,52
20161115,38,52
20161116,38,52
20161117,38,51
20161118,37,51
20161119,37,51
20161120,37,50
20161121,36,50
20161122,36,50
20161123,36,49
20161124,35,49
20161125,35,49
20161126,35,48
20161127,34,48
20161128,34,47
20161129,33,47
20161130,33,47
20161201,33,46
20161202,33,46
20161203,33,46
20161204,32,45
20161205,32,45
20161206,32,44
20161207,31,44
20161208,31,44
20161209,31,43
20161210,30,43
20161211,30,43
20161212,29,42
20161213,29,42
20161214,29,42
20161215,28,41
20161216,28,41
20161217,28,41
20161218,27,40
20161219,27,40
20161220,27,40
20161221,26,39
20161222,26,39
20161223,26,39
20161224,26,39
20161225,25,38
20161226,25,38
20161227,25,38
20161228,24,38
20161229,24,37
20161230,24,37
20161231,24,37
