Date,Emergencies,Per Cap Emergencies,income0,income1,income2,income3,income4,income5,Precipitation,Snow,Tmax,Tmin,Awnd,Avg Precipitation,Avg Snow,Avg Tmax,Avg Tmin,Avg Awnd,Yester Precipitation,Yester Snow,Yester Tmax,Yester Tmin,Yester Awnd,Avg Low,Avg High
20131104,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,42,31,8.72,0.02,0.0,49.857142857142854,36.285714285714285,8.18142857142857,0.03,0,53,34,10.74,41,56
20131104,2,1.2639907981469895e-05,0,0,0,0,0,1,0,0,42,31,8.72,0.02,0.0,49.857142857142854,36.285714285714285,8.18142857142857,0.03,0,53,34,10.74,41,56
20131105,0,0.0,1,0,0,0,0,0,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131105,3,2.405002405002405e-05,0,1,0,0,0,0,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131105,0,0.0,0,0,1,0,0,0,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131105,2,1.6477722119694175e-05,0,0,0,1,0,0,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131105,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131105,4,2.527981596293979e-05,0,0,0,0,0,1,0,0,48,32,7.38,0.012857142857142857,0.0,49.142857142857146,35.285714285714285,8.692857142857145,0,0,42,31,8.72,41,55
20131106,0,0.0,1,0,0,0,0,0,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131106,3,2.405002405002405e-05,0,1,0,0,0,0,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131106,3,3.951111579391002e-05,0,0,1,0,0,0,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131106,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131106,2,1.2532349126181957e-05,0,0,0,0,1,0,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131106,3,1.895986197220484e-05,0,0,0,0,0,1,0,0,61,42,10.74,0.008571428571428572,0.0,48.857142857142854,35.57142857142857,9.044285714285715,0,0,48,32,7.38,41,55
20131107,2,3.026588580681285e-05,1,0,0,0,0,0,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
20131107,1,8.01667468334135e-06,0,1,0,0,0,0,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
20131107,1,1.317037193130334e-05,0,0,1,0,0,0,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
20131107,3,2.471658317954126e-05,0,0,0,1,0,0,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
20131107,1,6.2661745630909785e-06,0,0,0,0,1,0,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
